Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
1328496,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,KGZ,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,3.1,3.1,,,,2023-04-20T07:33:14+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Kyrgyzstan
344317,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,SLE,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,1.2,1.2,,,,2023-04-20T07:33:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Sierra Leone
1784760,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,JAM,YEAR,AMR,Americas,SEX,SEX_FMLE,2020,,,,,,,0.6,0.58,,,,2023-04-20T07:33:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Jamaica
7443005,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,IRL,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,4.0,4.0,,,,2023-04-20T07:33:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Ireland
6774398,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,LKA,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2020,,,,,,,3.8,3.8,,,,2023-04-20T07:33:21+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Sri Lanka
8894014,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,POL,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,2.8,2.8,,,,2023-04-20T07:33:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Poland
2479304,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,0.8,0.83,,,,2023-04-20T07:33:14+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Lebanon
8364161,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,1.3,1.3,,,,2023-04-20T07:33:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,"Iran, Islamic Republic of"
7211137,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,TZA,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,1.6,1.6,,,,2023-04-20T07:33:23+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,"Tanzania, United Republic of"
7549252,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CZE,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,4.3,4.3,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Czechia
7662131,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BFA,YEAR,AFR,Africa,SEX,SEX_BTSX,2020,,,,,,,1.7,1.7,,,,2023-04-20T07:33:07+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Burkina Faso
6509719,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,1.6,1.6,,,,2023-04-20T07:33:10+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Egypt
