Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
5695666,SA_0000001419,COUNTRY,LUX,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,152,152.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Luxembourg
6721796,SA_0000001419,COUNTRY,NIC,YEAR,AMR,Americas,SEX,2004,SEX_FMLE,,,,,,,221,221.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Nicaragua
536447,SA_0000001419,COUNTRY,KHM,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,196,196.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Cambodia
5642562,SA_0000001419,COUNTRY,GEO,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,134,134.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Georgia
7622465,SA_0000001419,COUNTRY,BFA,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,248,248.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Burkina Faso
1408340,SA_0000001419,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_BTSX,,,,,,,85,85.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,"Iran, Islamic Republic of"
8443569,SA_0000001419,COUNTRY,MKD,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,10,10.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,North Macedonia
1579984,SA_0000001419,COUNTRY,ZWE,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,148,148.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Zimbabwe
760275,SA_0000001419,COUNTRY,RUS,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,3,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Russian Federation
1447929,SA_0000001419,COUNTRY,MWI,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,67,67.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Malawi
3842520,SA_0000001419,COUNTRY,SVN,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,301,301.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Slovenia
7350422,SA_0000001419,COUNTRY,HTI,YEAR,AMR,Americas,SEX,2004,SEX_FMLE,,,,,,,29,29.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Haiti
7536133,SA_0000001419,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_BTSX,,,,,,,98,98.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Libya
1077401,SA_0000001419,COUNTRY,VNM,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,72,72.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Viet Nam
3703841,SA_0000001419,COUNTRY,AUT,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Austria
9639318,SA_0000001419,COUNTRY,CAN,YEAR,AMR,Americas,SEX,2004,SEX_MLE,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Canada
9493368,SA_0000001419,COUNTRY,PRT,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,271,271.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Portugal
2069329,SA_0000001419,COUNTRY,NRU,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,309,309.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Nauru
9046515,SA_0000001419,COUNTRY,ISL,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,4,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Iceland
5947729,SA_0000001419,COUNTRY,NPL,YEAR,SEAR,South-East Asia,SEX,2004,SEX_BTSX,,,,,,,140,140.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Nepal
2809827,SA_0000001419,COUNTRY,ESP,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Spain
2770076,SA_0000001419,COUNTRY,ROU,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,253,253.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Romania
1494088,SA_0000001419,COUNTRY,TUV,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,189,189.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Tuvalu
550039,SA_0000001419,COUNTRY,MOZ,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,31,31.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mozambique
4008301,SA_0000001419,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2004,SEX_MLE,,,,,,,1,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,India
4180727,SA_0000001419,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_BTSX,,,,,,,128,128.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Egypt
6266151,SA_0000001419,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_FMLE,,,,,,,169,169.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Djibouti
