Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
4332904,SA_0000001420,COUNTRY,LCA,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,75,75.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Saint Lucia
575518,SA_0000001420,COUNTRY,CAF,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,36,36.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Central African Rep.
4895962,SA_0000001420,COUNTRY,BHS,AMR,YEAR,Americas,SEX,SEX_FMLE,2004,,,,,,,133,133.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bahamas
5861561,SA_0000001420,COUNTRY,KEN,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,42,42.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kenya
4359496,SA_0000001420,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2004,,,,,,,49,49.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Morocco
7901274,SA_0000001420,COUNTRY,UZB,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,29,29.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Uzbekistan
8436843,SA_0000001420,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,35,35.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Qatar
1844397,SA_0000001420,COUNTRY,NOR,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,183,183.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Norway
6979524,SA_0000001420,COUNTRY,HRV,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,207,207.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Croatia
3922092,SA_0000001420,COUNTRY,IDN,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,2004,,,,,,,147,147.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Indonesia
1150310,SA_0000001420,COUNTRY,KAZ,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,57,57.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kazakhstan
1203411,SA_0000001420,COUNTRY,KGZ,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,46,46.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kyrgyzstan
8781490,SA_0000001420,COUNTRY,SGP,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,126,126.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Singapore
8867746,SA_0000001420,COUNTRY,ARM,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,90,90.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Armenia
4200294,SA_0000001420,COUNTRY,VNM,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,90,90.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Vietnam
7615899,SA_0000001420,COUNTRY,BDI,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,46,46.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Burundi
3353133,SA_0000001420,COUNTRY,KEN,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,32,32.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kenya
9165645,SA_0000001420,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_MLE,2004,,,,,,,46,46.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bhutan
